name,event,distance,stroke,course,gender,time_(string),time_(seconds),time_(HH:MM:SS),date,season,team,meet,birth_date,event_id
Lara Jackson,50 Freestyle SCY Female,50,Freestyle,SCY,Female,21.27,21.27,0 days 00:00:21.270000,2009-03-19,2009.0,University of Arizona,2009 NCAA DI - Women,1986-10-14,1
Anne-Marie Botek,50 Freestyle SCY Female,50,Freestyle,SCY,Female,21.80,21.8,0 days 00:00:21.800000,2009-03-19,2009.0,University of Georgia,2009 NCAA DI - Women,1988-02-29,1
Michele King,50 Freestyle SCY Female,50,Freestyle,SCY,Female,21.82,21.82,0 days 00:00:21.820000,2009-03-19,2009.0,University of Tennessee,2009 NCAA DI - Women,1988-06-23,1
Hee-jin Chang,50 Freestyle SCY Female,50,Freestyle,SCY,Female,21.87,21.87,0 days 00:00:21.870000,2009-02-25,2009.0,University of Texas,2009 Big 12 Champs,1986-09-05,1
Julia Smit,50 Freestyle SCY Female,50,Freestyle,SCY,Female,21.91,21.91,0 days 00:00:21.910000,2009-03-19,2009.0,Stanford University,2009 NCAA DI - Women,1987-12-14,1
Triin Aljand,50 Freestyle SCY Female,50,Freestyle,SCY,Female,21.93,21.93,0 days 00:00:21.930000,2009-03-19,2009.0,Texas A&M University,2009 NCAA DI - Women,1985-07-08,1
Liv Jensen,50 Freestyle SCY Female,50,Freestyle,SCY,Female,21.94,21.94,0 days 00:00:21.940000,2009-02-25,2009.0,University of California Berkeley,2009 PAC 10 Champs women,1990-04-24,1
Madison Kennedy,50 Freestyle SCY Female,50,Freestyle,SCY,Female,21.94,21.94,0 days 00:00:21.940000,2009-03-19,2009.0,University of California Berkeley,2009 NCAA DI - Women,1987-12-22,1
Anne May,50 Freestyle SCY Female,50,Freestyle,SCY,Female,21.96,21.96,0 days 00:00:21.960000,2008-12-04,2009.0,UC Santa Barbara (M),2008 Husky Invite,1987-06-24,1
Sara Smith,50 Freestyle SCY Female,50,Freestyle,SCY,Female,21.96,21.96,0 days 00:00:21.960000,2009-02-18,2009.0,VA Tech,2009 ACC Champs women,1987-04-07,1
Hannah Wilson,50 Freestyle SCY Female,50,Freestyle,SCY,Female,22.06,22.06,0 days 00:00:22.060000,2009-03-19,2009.0,University of California Berkeley,2009 NCAA DI - Women,1989-03-10,1
Rebecca Thompson,50 Freestyle SCY Female,50,Freestyle,SCY,Female,22.09,22.09,0 days 00:00:22.090000,2009-02-18,2009.0,University of Wisconsin Madison,2009 B1G 10 Champs women,1990-06-14,1
Karlee Carver,50 Freestyle SCY Female,50,Freestyle,SCY,Female,22.10,22.1,0 days 00:00:22.100000,2009-03-19,2009.0,University of Texas,2009 NCAA DI - Women,1990-01-24,1
