name,event,distance,stroke,course,gender,time_(string),time_(seconds),time_(HH:MM:SS),date,season,team,meet,birth_date,event_id
Lara Jackson,50 Freestyle SCY Female,50,Freestyle,SCY,Female,21.69,21.69,0 days 00:00:21.690000,2008-03-20,2008.0,University of Arizona,2008 NCAA DI - Women,1986-10-14,1
Michele King,50 Freestyle SCY Female,50,Freestyle,SCY,Female,21.86,21.86,0 days 00:00:21.860000,2008-03-20,2008.0,University of Tennessee,2008 NCAA DI - Women,1988-06-23,1
Madison Kennedy,50 Freestyle SCY Female,50,Freestyle,SCY,Female,21.87,21.87,0 days 00:00:21.870000,2008-03-20,2008.0,University of California Berkeley,2008 NCAA DI - Women,1987-12-22,1
Jennifer Bradford,50 Freestyle SCY Female,50,Freestyle,SCY,Female,22.00,22.0,0 days 00:00:22,2008-02-20,2008.0,University of Kentucky,2008 SEC Champs,1985-08-27,1
Anne May,50 Freestyle SCY Female,50,Freestyle,SCY,Female,22.00,22.0,0 days 00:00:22,2008-03-20,2008.0,UC Santa Barbara (M),2008 NCAA DI - Women,1987-06-24,1
Triin Aljand,50 Freestyle SCY Female,50,Freestyle,SCY,Female,22.02,22.02,0 days 00:00:22.020000,2008-02-27,2008.0,Texas A&M University,2008 Big 12 Champs,1985-07-08,1
Christine Magnuson,50 Freestyle SCY Female,50,Freestyle,SCY,Female,22.03,22.03,0 days 00:00:22.030000,2008-02-20,2008.0,University of Tennessee,2008 SEC Champs,1985-10-17,1
Kara Denby,50 Freestyle SCY Female,50,Freestyle,SCY,Female,22.06,22.06,0 days 00:00:22.060000,2008-03-20,2008.0,Auburn University,2008 NCAA DI - Women,1986-05-28,1
Caitlin Andrew,50 Freestyle SCY Female,50,Freestyle,SCY,Female,22.07,22.07,0 days 00:00:22.070000,2008-02-27,2008.0,Arizona State University,2008 PAC-10 Champs women ,1986-05-14,1
Lacey Nymeyer,50 Freestyle SCY Female,50,Freestyle,SCY,Female,22.07,22.07,0 days 00:00:22.070000,2008-03-20,2008.0,University of Arizona,2008 NCAA DI - Women,1985-10-29,1
Anna Turner,50 Freestyle SCY Female,50,Freestyle,SCY,Female,22.09,22.09,0 days 00:00:22.090000,2008-03-20,2008.0,University of Arizona,2008 NCAA DI - Women,1987-02-21,1
Heather Ivery,50 Freestyle SCY Female,50,Freestyle,SCY,Female,22.24,22.24,0 days 00:00:22.240000,2008-02-20,2008.0,University of Kentucky,2008 SEC Champs,1985-08-27,1
Andrea Hupman,50 Freestyle SCY Female,50,Freestyle,SCY,Female,22.26,22.26,0 days 00:00:22.260000,2008-02-21,2008.0,Northwestern University,2008 B1G 10 Champ women,1985-11-02,1
Taylor Baughman,50 Freestyle SCY Female,50,Freestyle,SCY,Female,22.27,22.27,0 days 00:00:22.270000,2008-03-20,2008.0,University of Arizona,2008 NCAA DI - Women,1986-12-10,1
Brooke Bishop,50 Freestyle SCY Female,50,Freestyle,SCY,Female,22.27,22.27,0 days 00:00:22.270000,2008-03-20,2008.0,Stanford University,2008 NCAA DI - Women,1986-08-12,1
Hee-jin Chang,50 Freestyle SCY Female,50,Freestyle,SCY,Female,22.29,22.29,0 days 00:00:22.290000,2008-02-27,2008.0,University of Texas,2008 Big 12 Champs,1986-09-05,1
Cesar Cielo,50 Freestyle SCY Male,50,Freestyle,SCY,Male,18.47,18.47,0 days 00:00:18.470000,2008-03-27,2008.0,Auburn University,2008 NCAA DI - Men,1987-01-10,1
Alexander Righi,50 Freestyle SCY Male,50,Freestyle,SCY,Male,19.08,19.08,0 days 00:00:19.080000,2008-03-27,2008.0,Yale University,2008 NCAA DI - Men,1986-08-13,1
Albert Subirats,50 Freestyle SCY Male,50,Freestyle,SCY,Male,19.18,19.18,0 days 00:00:19.180000,2008-03-27,2008.0,University of Arizona,2008 NCAA DI - Men,1986-09-25,1
William Copeland,50 Freestyle SCY Male,50,Freestyle,SCY,Male,19.30,19.3,0 days 00:00:19.300000,2008-03-05,2008.0,University of California Berkeley,2008 PAC-10 Champs men ,1986-04-21,1
Alexei Puninski,50 Freestyle SCY Male,50,Freestyle,SCY,Male,19.38,19.38,0 days 00:00:19.380000,2008-03-27,2008.0,Auburn University,2008 NCAA DI - Men,1985-01-11,1
Jernej Godec,50 Freestyle SCY Male,50,Freestyle,SCY,Male,19.46,19.46,0 days 00:00:19.460000,2008-03-27,2008.0,University of California Berkeley,2008 NCAA DI - Men,1986-01-16,1
Kyle Bubolz,50 Freestyle SCY Male,50,Freestyle,SCY,Male,19.47,19.47,0 days 00:00:19.470000,2008-03-27,2008.0,Northwestern University,2008 NCAA DI - Men,1986-05-12,1
Bruno Barbic,50 Freestyle SCY Male,50,Freestyle,SCY,Male,19.48,19.48,0 days 00:00:19.480000,2008-03-27,2008.0,Northwestern University,2008 NCAA DI - Men,1986-03-17,1
Scott Baker,50 Freestyle SCY Male,50,Freestyle,SCY,Male,19.49,19.49,0 days 00:00:19.490000,2008-03-27,2008.0,Florida State University,2008 NCAA DI - Men,1987-07-29,1
Terry Gardner,50 Freestyle SCY Male,50,Freestyle,SCY,Male,19.49,19.49,0 days 00:00:19.490000,2008-03-27,2008.0,Texas A&M University,2008 NCAA DI - Men,1985-02-23,1
Kaan Tayla,50 Freestyle SCY Male,50,Freestyle,SCY,Male,19.50,19.5,0 days 00:00:19.500000,2008-02-27,2008.0,VA Tech,2008 ACC Champs men,1986-02-17,1
Jason Dunford,50 Freestyle SCY Male,50,Freestyle,SCY,Male,19.52,19.52,0 days 00:00:19.520000,2008-03-05,2008.0,Stanford University,2008 PAC-10 Champs men ,1986-11-28,1
Jonathan Jackson,50 Freestyle SCY Male,50,Freestyle,SCY,Male,19.52,19.52,0 days 00:00:19.520000,2008-02-27,2008.0,University of Texas,2008 Big 12 Champs,1989-07-21,1
Richard Gosper,50 Freestyle SCY Male,50,Freestyle,SCY,Male,19.54,19.54,0 days 00:00:19.540000,2007-11-29,2008.0,University of Southern California,Husky Invitational 2007,1984-05-01,1
Matthew Voelker,50 Freestyle SCY Male,50,Freestyle,SCY,Male,19.54,19.54,0 days 00:00:19.540000,2008-03-27,2008.0,Ohio State University,2008 NCAA DI - Men,1986-04-14,1
Mark Whittington,50 Freestyle SCY Male,50,Freestyle,SCY,Male,19.55,19.55,0 days 00:00:19.550000,2008-03-27,2008.0,University of California Berkeley,2008 NCAA DI - Men,1986-06-30,1
Lacey Nymeyer,100 Freestyle SCY Female,100,Freestyle,SCY,Female,47.50,47.5,0 days 00:00:47.500000,2008-03-20,2008.0,University of Arizona,2008 NCAA DI - Women,1985-10-29,2
Julia Wilkinson,100 Freestyle SCY Female,100,Freestyle,SCY,Female,47.56,47.56,0 days 00:00:47.560000,2008-03-20,2008.0,Texas A&M University,2008 NCAA DI - Women,1987-06-12,2
Kara Denby,100 Freestyle SCY Female,100,Freestyle,SCY,Female,47.92,47.92,0 days 00:00:47.920000,2008-03-20,2008.0,Auburn University,2008 NCAA DI - Women,1986-05-28,2
Christine Magnuson,100 Freestyle SCY Female,100,Freestyle,SCY,Female,48.08,48.08,0 days 00:00:48.080000,2008-02-20,2008.0,University of Tennessee,2008 SEC Champs,1985-10-17,2
Emily Silver,100 Freestyle SCY Female,100,Freestyle,SCY,Female,48.21,48.21,0 days 00:00:48.210000,2008-03-20,2008.0,University of California Berkeley,2008 NCAA DI - Women,1985-10-09,2
Caroline Burckle,100 Freestyle SCY Female,100,Freestyle,SCY,Female,48.26,48.26,0 days 00:00:48.260000,2008-03-20,2008.0,University of Florida,2008 NCAA DI - Women,1986-06-24,2
Michele King,100 Freestyle SCY Female,100,Freestyle,SCY,Female,48.26,48.26,0 days 00:00:48.260000,2008-03-20,2008.0,University of Tennessee,2008 NCAA DI - Women,1988-06-23,2
Kayla Andrews Large,100 Freestyle SCY Female,100,Freestyle,SCY,Female,48.33,48.33,0 days 00:00:48.330000,2008-02-20,2008.0,West Virginia University,2008 Big East Champ,1988-07-13,2
Madison Kennedy,100 Freestyle SCY Female,100,Freestyle,SCY,Female,48.33,48.33,0 days 00:00:48.330000,2008-02-27,2008.0,University of California Berkeley,2008 PAC-10 Champs women ,1987-12-22,2
Ava Ohlgren,100 Freestyle SCY Female,100,Freestyle,SCY,Female,48.33,48.33,0 days 00:00:48.330000,2008-02-20,2008.0,Auburn University,2008 SEC Champs,1988-01-31,2
Caitlin Andrew,100 Freestyle SCY Female,100,Freestyle,SCY,Female,48.34,48.34,0 days 00:00:48.340000,2008-02-27,2008.0,Arizona State University,2008 PAC-10 Champs women ,1986-05-14,2
Kate Dwelley,100 Freestyle SCY Female,100,Freestyle,SCY,Female,48.38,48.38,0 days 00:00:48.380000,2008-03-22,2008.0,Stanford University,2008 NCAA DI - Women,1989-02-10,2
Anna Turner,100 Freestyle SCY Female,100,Freestyle,SCY,Female,48.42,48.42,0 days 00:00:48.420000,2008-03-20,2008.0,University of Arizona,2008 NCAA DI - Women,1987-02-21,2
Andrea Hupman,100 Freestyle SCY Female,100,Freestyle,SCY,Female,48.53,48.53,0 days 00:00:48.530000,2008-02-21,2008.0,Northwestern University,2008 B1G 10 Champ women,1985-11-02,2
Emily Kukors,100 Freestyle SCY Female,100,Freestyle,SCY,Female,48.54,48.54,0 days 00:00:48.540000,2008-03-20,2008.0,Auburn University,2008 NCAA DI - Women,1985-04-13,2
Justine Schluntz,100 Freestyle SCY Female,100,Freestyle,SCY,Female,48.59,48.59,0 days 00:00:48.590000,2008-03-01,2008.0,University of Arizona,2008 PAC-10 Champs women ,1987-05-28,2
Cesar Cielo,100 Freestyle SCY Male,100,Freestyle,SCY,Male,40.92,40.92,0 days 00:00:40.920000,2008-03-27,2008.0,Auburn University,2008 NCAA DI - Men,1987-01-10,2
Alexander Righi,100 Freestyle SCY Male,100,Freestyle,SCY,Male,41.94,41.94,0 days 00:00:41.940000,2008-03-27,2008.0,Yale University,2008 NCAA DI - Men,1986-08-13,2
Lars Persson,100 Freestyle SCY Male,100,Freestyle,SCY,Male,42.26,42.26,0 days 00:00:42.260000,2008-03-27,2008.0,University of Tennessee,2008 NCAA DI - Men,1983-12-15,2
Nicolas Nilo,100 Freestyle SCY Male,100,Freestyle,SCY,Male,42.42,42.42,0 days 00:00:42.420000,2008-03-27,2008.0,University of Arizona,2008 NCAA DI - Men,1987-08-04,2
Alexei Puninski,100 Freestyle SCY Male,100,Freestyle,SCY,Male,42.42,42.42,0 days 00:00:42.420000,2008-03-27,2008.0,Auburn University,2008 NCAA DI - Men,1985-01-11,2
William Copeland,100 Freestyle SCY Male,100,Freestyle,SCY,Male,42.44,42.44,0 days 00:00:42.440000,2008-03-27,2008.0,University of California Berkeley,2008 NCAA DI - Men,1986-04-21,2
Matthew McGinnis,100 Freestyle SCY Male,100,Freestyle,SCY,Male,42.44,42.44,0 days 00:00:42.440000,2008-03-27,2008.0,University of Texas,2008 NCAA DI - Men,1985-08-25,2
Darian Townsend,100 Freestyle SCY Male,100,Freestyle,SCY,Male,42.44,42.44,0 days 00:00:42.440000,2008-03-27,2008.0,University of Arizona,2008 NCAA DI - Men,1984-08-28,2
Kyle Bubolz,100 Freestyle SCY Male,100,Freestyle,SCY,Male,42.45,42.45,0 days 00:00:42.450000,2008-03-27,2008.0,Northwestern University,2008 NCAA DI - Men,1986-05-12,2
